Id,Name,Color,Price,Ratings,Review_head,Review
455585002,100% Organic Cotton '90s Loose Jeans with Washwell,medium wash,$79.95,5,good fit,fit was great  wish they did the distressing better
455585002,100% Organic Cotton '90s Loose Jeans with Washwell,medium wash,$79.95,5,Number one brand in the world,Waaoowww amazing product looks good on me  whenever I am wearing
455585002,100% Organic Cotton '90s Loose Jeans with Washwell,medium wash,$79.95,5,Great fit with style,Great fit and quality  if you are looking for a loose fit with style this is the perfect Jean for you
455585002,100% Organic Cotton '90s Loose Jeans with Washwell,medium wash,$79.95,4,jeans sometimes come with holes,good jeans but 1 point off for the scuffs in the jeans
455585002,100% Organic Cotton '90s Loose Jeans with Washwell,medium wash,$79.95,5,College approved,My college son loves the baggy fit of these jeans.
455585002,100% Organic Cotton '90s Loose Jeans with Washwell,medium wash,$79.95,5,Good fabric,It really nice and soft
455585002,100% Organic Cotton '90s Loose Jeans with Washwell,medium wash,$79.95,5,90's are back!!,Love the new cut of these jeans!
455585002,100% Organic Cotton '90s Loose Jeans with Washwell,medium wash,$79.95,4,very comfortable,very comfortable jeans. only drawback is the button fly. but stylish and roomy for those who have an athletic build and large quads.
455585002,100% Organic Cotton '90s Loose Jeans with Washwell,medium wash,$79.95,5,good buy - but recognize that they're button fly,very soft texture. the one surprise is that these jeans are button fly. but i'm still wearing them.
455585002,100% Organic Cotton '90s Loose Jeans with Washwell,medium wash,$79.95,5,Perfect,Perfect size  great material  and the hole isn't too big  you should definitely buy!
455585002,Slim Jeans in GapFlex with Washwell,grey wash,$69.95,NA,NA,NA
819620002,Slim Jeans in GapFlex with Washwell,light wash,$55.00,5,size,nice fit
819620002,Slim Jeans in GapFlex with Washwell,light wash,$55.00,5,Perfect fit  nice look,Love the fit. Gap has been my go-to for years.It hugs the legs after a wash  but then loosens up over time.#sweepstakes
819620002,Slim Jeans in GapFlex with Washwell,light wash,$55.00,5,Amazing,Soft perfect fit
819620002,Slim Jeans in GapFlex with Washwell,light wash,$55.00,5,Size is exact,Comfort & size are perfect
819620002,Slim Jeans in GapFlex with Washwell,light wash,$55.00,5,His favorite,These are my sons favorite. We buy a pair every year! He loves the fit and no holes.
