Review,Sentiment
fit was great  wish they did the distressing better,positive
Waaoowww amazing product looks good on me  whenever I am wearing,positive
Great fit and quality  if you are looking for a loose fit with style this is the perfect Jean for you,positive
good jeans but 1 point off for the scuffs in the jeans,positive
My college son loves the baggy fit of these jeans.,positive
It really nice and soft,positive
Love the new cut of these jeans!,positive
very comfortable jeans. only drawback is the button fly. but stylish and roomy for those who have an athletic build and large quads.,positive
very soft texture. the one surprise is that these jeans are button fly. but i'm still wearing them.,neutral
Perfect size  great material  and the hole isn't too big  you should definitely buy!,positive
,neutral
nice fit,positive
Love the fit. Gap has been my go-to for years.It hugs the legs after a wash  but then loosens up over time.#sweepstakes,positive
Soft perfect fit,positive
Comfort & size are perfect,positive
These are my sons favorite. We buy a pair every year! He loves the fit and no holes.,positive
#Sweepstakes I love these jeans  I was looking for a light wash that aren't too tight-fitting.,positive
Best jeans ever. The stretch (paired up with the price) is unmatched. Only qualm - more color options please!,positive
I only wear GAP Jeans. But they have to be super stretchy material to fit my body. Gap keeps changing their nomenclature Softflex  or Gapflex. It's hard to keep up and the colour choices are limited. So when I find a colour I like I always order a few at a time.,negative
I've been wearing gap jeans for nearly 15 years and I just purchased this new pair and they fit and look as well as they historically have and we LOVE a pair of light wash jeans and jeans with STRETCH. #sweepstakes,positive
Jeans are slightly darker near the cuff than appear in the photos and run a little tight on the quads  but overall pretty happy with them #sweepstakes,positive
Great fit and versatile jeans. I have three pairs in three colors,positive
Shipped as promised; jeans are as described,positive
Perfect Fit,positive
Great color and true to fit,positive
Great jeans for those individuals with more muscle on the legs. Not tight but not loose. Looks greats,positive
Cool looking and a great fit!,positive
These jeans are perfect for our son!,positive
Great jeans at a great price!,positive
comfortable  flexible jeans,positive
Love the flex. Comfortable. Wash was a dark shade that looked good.,positive
fit perfectly!,positive
Great fit  very comfortable,positive
"I love those jeans because the ""Gap Flex"" material stretches and while they are ""Straight"" legs they are not like the old days; they are still are stylish. GAP has re-engineered this fit in the right places so they don't seem baggy like years ago. They come in a variety of denim colors  the price is right and have GAP's reputation and services!",positive
looks good with any kind of shirts,positive
Great fit  great quality,positive
Love my jeans,positive
Nice look,positive
It was a gift my son loved the fit,positive
Excellent fabric  great color  soft and comfortable.Great for everyday activities.,positive
Super comfortable and runs true yo size.,positive
Feel very good overall.,positive
Nice jeans  would have kept it if the length would have fit,positive
Nice jeans,positive
Love it,positive
Love these jeans. They wear well and are a great fit. The only thing I would change is how far apart the back pockets are.,positive
Great fit! Fits true to size.,positive
Colour,neutral
"Please stop with the stretch in the denim. These ""jeans"" feel like leggings. Way too much stretch  bring back real denim!! Bring back the selvage denim!!! T",mixed
Love this product  gap has the perfect sizes and are the only jeans I buy!,positive
Perfect as is,positive
These are my go to jeans!,positive
Excelent Jeans perfect fit,positive
Love the jeans,positive
These jeans are great for a more casual look. They wear well and the fit is great.,positive
Nice and soft from the get-go. Fits my man beautifully.,positive
I like it,positive
Great Fit!! Bought another pair.,positive
Great fit and shade,positive
Love it and the price as well,positive
Very comfortable and well made…just what I was looking for,positive
31x34 fits perfectly on 6'5 (170pounds)  they are super comfy and look very nice and clean.,positive
Great fabric and fit I love it,positive
It looks amazing on and it fits  comfortable,positive
I will be buying more of these!! Love them and can't wait to get another pair. Relaxed fit and super comfortable.,positive
Love the button fly,positive
"Pants are on the loose fit end(they lay frumpy on my body (maybe it's my body type)!  I'm 5""11 220 lbs stocky build side 34 waist! Will definitely need tailoring($$)",negative
Nicely made. I feel like they are a little bigger than the measurements but nice jeans,positive
Great 90s silhouette  slight distress.,positive
Wrote review as part of #sweepstakes.The good: Wash is really well done. Got compliments on it.Rise and fit are exactly like some jeans i had in the 90s. Good job  gap. I think these are my new favorite jeans. Crotch/inseam is lower than styles have been lately so a 32 inseam will be longer on the leg than their non-90s fit straight jeans 32 inseam will. The bad: The distressing is done on the cuffs of each leg. Around the bottom. When this cuff falls apart  jeans look really ratty. Distressing it early just accelerates the process. This is a small downside and probably true of most jeans that are made lightly distressed. Also  the front pockets are kind of small. Smaller than I'm used to. I have a normal smart phone (not like an XL model) and it fits  but barely.,mixed
Loved the fit of these jeans I am a petite women and they look amazing on  the wash on this model is a bit much but still pretty cool,positive
Boyfriend loved the pants,positive
fuller than 501s.  pre-distressed is good except for the bottom cuff/seam which will shorten the life of the jeans unnecessarily,positive
The jeans are too big   I washed them thinking that they was going to shrink but they didn't. I got them in my size 36 I should've went down a size,negative
These jeans are ok. If you're looking for a simple basic pair of black denim  this works. There is nothing special and I wasn't terribly impressed with the quality and unfortunately not what I was looking for.,negative
The fit is just okay.  I was expecting a bit moee flex.  I couldve sworn that older versions had more flex.  The recent batch I bought seemed a bit stiff.,negative
They're great and fit perfect,positive
My husband loves these jeans. It's his favourite cut.,positive
I love it,positive
I like that these pants look very 80's-90's,positive
These are some comfortable jeans,positive
I am a big fan of Gap jeans for many   many years. For some reason I never was into Levi's   Wrangler  Lee...etc. Found the cut of Gap jeans appeals to my style   comfort and durability. Have at least 35 pairs of Gap jeans (more than I can use ....) but I enjoy to wear them!,positive
Great fit!,positive
Good cut and fit. Slightly looser than skinny,mixed
Nice colour  good fitting  confortable. Everything was perfect.,positive
Amazing fitting,positive
From now on i will only buy my jeans at GAP  the perfect size and it's very durable material.,positive
Where do I begin. The Gap been the it brand since I was a kid I'm the 90s and I'm still making purchases from the clothing brand. Satisfied and will continue to shop with Gap!,positive
Great material,positive
#SweepStakes Great jeans as expected and as shown in the website. Very happy with my purchase.,positive
The fabric and flex is great. Been looking for a light blue wash jeans  Gap got it right. Thought the fit was a little fuller than I like  I will keep them.,positive
Perfect size. Good quality,positive
I love the color and how well they fit.,positive
Forgot how great Gap jeans were when I was young. I shop pretty extensively now at Gap!,positive
Elegant Fit,positive
Great cut for my husband who has narrow hips n skinny legs.,positive
Bought 2 pair of these. The length is perfect. For my son the waist was a bit big  be he loved them so much he just put on a belt and kept his shirt u tucked  problem solved.,positive
Soft and perfect fit.,positive
snug pair of jeans but not to snug just right,negative
"Bought them for my husband. He loves them! They're very comfortable  and look great on him. He's very picky so it was a gamble buying them without trying on. For reference he's 6'1""  205lbs and I got the 34/34s.",positive
Good fit not too baggy  not too skinny,positive
Nice color  fits very well.,positive
Husbands loved these. The shade is what caught my attention when I ordered. Great medium blue  jeans for him. He never liked slim fit but now he loves them bc they're not as tight as he thought they would be. He appreciates the stretch in them even tho he doesn't go for a snug look  but feel. Not to many whiskers and fades. They are just right,positive
Durable and form fitting,positive
It maybe to soon  but the jeans seem well made and look richer than their price.,positive
These fit great and were very comfortable. Will definitely buy again.,positive
Very comfortable great jeans,positive
Comfortable and and stylish.,positive
Classic cut  cool wash .DressUp or down.,positive
Perfect fit,positive
These are my hubby's new favorite pair of dark denim jeans! They wash well & haven't faded!,positive
My son loves these jeans! He wanted jeans that had stretch and were comfortable. This is the pair!,positive
Tried and true… gap jeans just fit me the best.  I recently bought jeans from jcrew  and they were too tight around the thighs and too loose at my waist.  I'm not a thic guy.  Lol.  In gap  I'm a 31 slim.  Always seems to work just right.,mixed
Great jeans for my son  perfect fit.,positive
My son and son in love live these boot leg jeans!!! Perfect fit and length ALL the things me at a great price❤️,positive
There is alot of room in the thighs,neutral
Fits like how bootcut jean should fit. Fits right on the thigh and flares enough to give it the style I was looking for. Got it with additional discount which made me feel good about my purchase.,positive
Does not size well compared to other jeans...I returned these.,negative
Fit great and good quality,positive
