Review,Sentiment
Lovely,positive
Very comfy for walking.,positive
I Like the color and the stretch but the are way to loose. This is my 5 or 6th set of jeans from old navy. I wear 33W 36L. I would size down on waist if i could.,negative
Just fits perfectly. Soft and comfortable to wear,positive
Nice fit.,positive
Perfect fit,positive
Always good price,positive
Really nice looking jeans. Levi quality with Old Navy price!,positive
"Easy to order, just what I wanted",positive
My sons go to jean,neutral
Bell bottom boot cut,neutral
Thankful for the tall sizes! 30x36 is a perfect fit!,positive
"Great product, Great price, and delivered fast. thank you",positive
"I bought these for my 14 yr old son. He is almost 5'8, about 120 pounds. I got him a 30x34 and they fit great.",positive
"Thought I wish we could go back to the days where you could get a true fit (34X31 or 35X31) the pants made me feel great about my weight loss. It has been years since I fit into a size 34, and these fit great! I will be wearing these for a very long time!",positive
Good looking pair of jeans. Comfortable and affordable. My favorite cut. Have another pair ordered!,positive
Comfortable pants for my husband. Makes the booty look nice.,positive
Smooth Transaction and prompt Shipping. Thank you again Old Navy. Love your Jeans!!,positive
First pair of men's jeans I've had to by for my son. He really liked them. Especially the dark wash. Not tight in the thighs. And washed nicely.,positive
True to fit and comfey. The stretch material helps maintain the comfort especially in the sitting position for long periods of time behind the desk. Love these jeans!,positive
Last loose fit jeans I can find,neutral
They are comfortable and fit as expected.,positive
The quality and price of the jeans is awesome.,positive
Very comfy,positive
Fits perfectly! Now looking for different colors,positive
"Comfortable fit, able to move in them",positive
Perfect fit just like pic,positive
Just like pic!! Perfect fit recommend,positive
"Easy to order, just what I wanted",positive
Product is very well made,positive
Nice jeans just didn't look great on my husband,negative
Good looking,positive
"Good quality , great fit, fading is yellowish is the only downfall , not really a attractive wash!",positive
"Bought these for my 14 yr old son. He is almost 5'8, about 120 pounds. I ordered size 30x34 and they fit great.",positive
"Great fit, and the most comfortable pair of jeans I've owned.",positive
"Very comfortable, with a lot stretch. Only issue was that they got a tad stretched out after second wearing. Fit true to size.",mixed
"Very comfortable,  great fit@",positive
"Very Comfortable,  great fit!",positive
Great color and wash just returned because of the wrong size,positive
"Great product, feels very comfortable and stylish.",positive
"Very disappointed, always wears a 32 waist and these were super big in a 32. Sizing must run large in the black.",negative
Didn't have my length but they are good jeans,positive
Great fit! Exactly as written,positive
Very comfortable and they fit perfectly.,positive
The fabric is a little tough and not as much flex as I typically like in my jeans. Overall great fit.,mixed
It's a perfect fit accurate sizing with your needs.,positive
"It's very comfy and a slim look when I wore.
I'm going buy a dark color too",positive
Nice jean for my son but the sizing was off so I had to return it. It was way too small.,mixed
"Very nice fit, gives with movements",positive
Great fit!,positive
"Very disappointed, always wears a 32 waist and these were super big in a 32. Sizing must run large in the black.",negative
Didn't have my length but they are good jeans,positive
Great fit! Exactly as written,positive
Very comfortable and they fit perfectly.,positive
The fabric is a little tough and not as much flex as I typically like in my jeans. Overall great fit.,mixed
It's a perfect fit accurate sizing with your needs.,positive
"It's very comfy and a slim look when I wore.
I'm going buy a dark color too",positive
Nice jean for my son but the sizing was off so I had to return it. It was way too small.,mixed
"Very nice fit, gives with movements",positive
Great fit!,positive
"Rugged, durable, and stylish!",positive
Perfect fit,positive
Really comfortable jeans and nice marerial,positive
Very comfortable,positive
"Overall, these fit great and the style is perfect for fall.",positive
Roomy and fit well,positive
Nice pants,positive
"Fits perfectly, love the dark wash!",positive
"Great fit, comfortable, look awesome",positive
"Bought the jeans for my son, they fit well, good quality.",positive
Great fit,positive
Stylish and comfortable,positive
"Love the slim fit, still very comfortable and soft. Can't wait to wear with my brown boots.",positive
Getting hard to find. Thanks for an easy convenient transaction,mixed
good looking jeans,positive
"Good overall fit, it is hard to find jeans that fit how I like them but these were great.",positive
I love the fit and look of the denim.,positive
Wonderful!,positive
"Great fit, look great",positive
Great fit. Add a little cuff to the bottom and you've got yourself a great looking pair of jeans,positive
"My husband loved these jeans when he tried them on.  They stretched in just the right way, and I loved the feel of the material.",positive
Super comfy and they look great!,positive
These are amazing and fit perfectly,positive
"Nice jeans,color and got is good but you can size down in waist,but overall nice",positive
Great fit. Love that these jeans are loose fitting but not to baggy. Love that old navy has sizing for tall and skinny. Ordered the 30 x 34. Perfect color. Not too dark or too light.,positive
Comfortable  Fit Comfortable Price,positive
Coooool,positive
I love the shade of denim and the fit is great-love the stretch ! Very comfortable,positive
Perfect for my family,positive
Great fit and comfy too,positive
"My husband loved these jeans when he tried them on.  They stretched in just the right way, and I loved the feel of the material.",positive
Super comfy and they look great!,positive
These are amazing and fit perfectly,positive
"Nice jeans,color and got is good but you can size down in waist,but overall nice",positive
Great fit. Love that these jeans are loose fitting but not to baggy. Love that old navy has sizing for tall and skinny. Ordered the 30 x 34. Perfect color. Not too dark or too light.,positive
Comfortable  Fit Comfortable Price,positive
Coooool,positive
I love the shade of denim and the fit is great-love the stretch ! Very comfortable,positive
Perfect for my family,positive
Great fit and comfy too,positive
Great fit and they look good.,positive
These are great jeans. Perfect for any occasion. Hubby is loving the stretch.,positive
"Awesome,perfect jeans",positive
"Fit nice!
Comfortable!
Great color!",positive
"These wear more comfortably than I expected, slim fitting and cool stylings.",positive
Comfortable and great colour,positive
"I love these jeans, it's a nice dark grey wash and fits great. I love the little bit of stretch in the fabric.",positive
They feel great.,positive
Love the fit,positive
So comfortable and great colour!,positive
Nice jeans just didn't look great on my husband,negative
Good looking,positive
"Good quality , great fit, fading is yellowish is the only downfall , not really a attractive wash!",positive
"Bought these for my 14 yr old son. He is almost 5'8, about 120 pounds. I ordered size 30x34 and they fit great.",positive
"Great fit, and the most comfortable pair of jeans I've owned.",positive
"Very comfortable, with a lot stretch. Only issue was that they got a tad stretched out after second wearing. Fit true to size.",mixed
"Very comfortable,  great fit@",positive
"Very Comfortable,  great fit!",positive
Great color and wash just returned because of the wrong size,positive
"Great product, feels very comfortable and stylish.",positive
Super stretchy and comfortable,positive
Great fit.,positive
They are blue,neutral
Very comfortable nice fit good quality,positive
Price was great! Good fit.,positive
So comfy and great material,positive
The jeans are comfortable and look good.,positive
Go to work and casual jeans,neutral
Fits just right,positive
These are the only jeans my son's wants. He loves that they have a bit of stretch while still looking slim.,positive
The Slim 360 fit my son perfectly.,positive
Super stretchy and comfortable,positive
Great pants super strechable,positive
So comfy,positive
All around great!,positive
Great pair of jeans! Thank you Old Navy,positive
we got these in the dark blue out of the four pairs we bought. I think these might be my son's favorite.,positive
Found the fit to be exactly right but I don't like the light wash as much as the dark wash.. more a matter of personal preference...,neutral
"Fits great, super comfortable stretch. Great style/colors. I've bought 3 pairs already.",positive
Great quality,positive
"Very disappointed, always wears a 32 waist and these were super big in a 32. Sizing must run large in the black.",negative
Didn't have my length but they are good jeans,positive
Great fit! Exactly as written,positive
Very comfortable and they fit perfectly.,positive
The fabric is a little tough and not as much flex as I typically like in my jeans. Overall great fit.,mixed
It's a perfect fit accurate sizing with your needs.,positive
"It's very comfy and a slim look when I wore.
I'm going buy a dark color too",positive
